Temperature (Â°C),Energy Consumption (kWh)
22.49080237694725,2.292603771813811
34.01428612819832,3.2519249375868986
29.6398788362281,3.009868271890561
26.973169683940732,1.7035325110936268
18.12037280884873,1.7022013369661173
18.119890406724053,1.9905453264282786
16.161672243363988,2.355114246707157
32.3235229154987,2.9732171824130464
27.022300234864176,2.297983222039824
29.16145155592091,2.6652666337998228
15.411689885916049,1.998870047442642
34.39819704323989,3.6041952591538315
31.648852816008436,2.9000051797173247
19.246782213565524,2.1813119379132306
18.636499344142013,1.9121887090882217
18.668090197068675,2.351131514973312
21.084844859190753,1.7574579389803993
25.495128632644757,2.385681789965592
23.638900372842315,2.1678359607181528
20.824582803960837,1.3507008063300243
27.237057894447588,2.871765927977047
17.789877213040835,1.9095153573940284
20.842892970704362,2.086846025391667
22.327236865873836,2.1154301198998104
24.12139968434072,1.7044545974088652
30.703519227860273,2.8600292614033482
18.993475643167194,1.7279903060533348
25.284688768272233,2.1273302422164138
26.848291377240848,2.6041862818910806
15.929008254399955,1.7949262538472648
27.150897038028766,3.658182654408142
18.41048247374583,1.9283371537905025
16.30103185970559,1.7588783813319413
33.977710745066666,3.3605481166235833
34.31264066149119,2.471878458499598
31.16794696232922,3.103537758508314
21.092275383467413,2.1393426433172547
16.95344228012768,2.9269652842554112
28.684660530243136,2.7722855706337524
23.803049874792027,2.531078658646009
17.440764696895577,1.7267205848369362
24.903538202225405,1.9060148014127747
15.687770422304368,2.140188449487947
33.186408041575646,3.694607320500952
20.17559963200034,2.4130759367215573
28.25044568707964,2.3703508413105947
21.23422152178822,2.8248193076468717
25.401360423556216,1.8392105109594812
25.934205586865595,2.8868491055866947
18.69708911051054,2.9649367239560434
34.39169255529117,2.9439010929637734
30.50265646722229,2.7671167819208433
33.78997883128378,3.4288235656721993
32.89654700855297,3.0379168737971978
26.957999576221702,1.9204682420891042
33.437484700462335,3.378029957449247
16.76985004103839,1.1458331472407866
18.919657248382904,2.1287619401558815
15.90454577821076,1.1307424607041745
21.506606615265287,2.925627864035299
22.77354579378964,1.8857279332108456
20.426980635477918,1.8816673054449542
31.57475018303859,3.564233626988694
22.135066533871786,1.5980744951702013
20.618690193747614,2.1755989866768264
25.853921663164968,3.2389635434577113
17.818484499495252,0.9781068326689115
31.043939615080795,3.196710890774232
16.491012873595416,1.7790426844837535
34.73773873201034,3.8646853090896895
30.444895385933147,2.426014183154274
18.974313630683447,1.2372030565262067
15.110442342472048,1.7720150170556537
31.309228569096682,3.2794151935262614
29.137146876952343,3.038961112868173
29.580143360819747,3.131238440830463
30.425406933718914,2.7025283325826464
16.480893034681806,1.7642161520486825
22.169314570885454,2.3634676937378862
17.317381190502594,1.3745624100370755
32.26206851751187,4.159094107323566
27.46596253655116,2.98351271411101
21.617960497052984,1.5661443011039742
16.27116700572047,1.9553935048889621
21.219646434313244,1.6346238083176636
21.503666440534943,2.5439089459247204
29.59212356676128,3.53851014617983
27.751149427104263,2.364773783534571
32.744254851526534,3.7561135497748146
24.444298503238986,2.6508203137921478
17.391884918766035,2.1502185718738485
29.2648957444599,3.8748860657729636
30.21570097233795,2.8988760392323596
26.225543951389923,2.245686312960248
30.41934359909122,2.597177145096361
24.875911927287817,2.079686050246063
25.45465658763988,2.5069148040569362
23.550820367170992,2.5256580241254216
15.508382534881903,1.6891836531531998
17.157828539866088,2.1293744785046207
